Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
hepatitis_c	non-a	2	1	unknown
strong_mind	strong_body	2	1	unrelated
larvae	myiasis	2	1	right
food_shortage	starvation	2	1	right
abnormal_bleeding	anemia	2	1	right
obedience	humility	4	2	unknown
change	hard_work	2	1	unknown
armed_conflict	environmental_degradation	6	5	right
genetic_mutation	breast_cancer	2	1	right
conditions	vitamin_d_deficiency	28	17	unrelated
obesity	chronic_illnesses	12	11	right
hypertension	arteriosclerosis	5	4	right
romanticism	france	5	2	unrelated
behaviors	rejection	2	1	unrelated
negative_thinking	depression	18	12	right
viral_infections	headache	2	1	right
cerebral_palsy	events	4	3	unrelated
election	minority_government	4	2	right
hemorrhage	blood_loss	2	1	right
chronic_rhinitis	nasal_obstruction	2	1	unknown
depression	sexual_problems	5	2	right
actions	conditions	3	2	unrelated
competition	selfishness	8	3	unrelated
deforestation	practices	4	2	unrelated
inflammation	insulin_resistance	41	26	right
atherosclerosis	buildup_of_cholesterol	2	1	left
kidney	fear	2	1	unrelated
diseases	mutations_in_the_gene	2	1	left
phosphorus	blooms	2	1	unrelated
disease	swollen_glands	7	3	right
earthquake	surface_faulting	2	1	right
bankruptcy	losses	13	12	right
conflicts	division	2	1	right
material	mesothelioma	2	1	unrelated
anger	difficulties	5	2	unknown
energy	matter	4	3	unknown
diarrhea	abdominal_pain	17	7	right
whooping_cough	symptoms	3	2	right
urinary_tract_infections	kidney_stones	2	1	left
conditions	sexual_abuse	2	1	left
depression	physiological_conditions	2	1	left
action	costs	7	3	right
tour	album	2	1	unrelated
negativity	frustration	3	2	unknown
change_in_motion	force	5	3	left
sleep_deprivation	problem	2	1	right
death	demonstrations	2	1	unknown
margin_of_error	score	2	1	unrelated
events	rape	3	2	unrelated
human_diseases	polymorphisms	2	1	unrelated
shame	silence	15	6	right
stress	tense_muscles	5	3	right
gout	diseases	9	4	right
infection	fluid	2	1	right
otoconia	bppv	2	1	right
variations	disparity	2	1	unknown
dysregulation_of_lipid_metabolism	increase	2	1	unrelated
anxiety	palpitations	23	9	right
depression	heart_attacks	7	3	left
demand	consolidation	2	1	right
genes	immunity	10	4	right
accident	insured_person	2	1	unrelated
transformation	genetic_events	4	3	unrelated
withdrawal	fever	2	1	unrelated
weight_loss	fasting	4	2	left
environmental_exposures	breast_cancer_risk	3	2	right
insulin_therapy	weight_gain	6	3	right
unity	justice	2	1	unknown
disability	aging	12	11	left
violence	stigma	7	6	left
work	skill	2	1	unrelated
aging	hearing_loss	73	38	right
stress	release_of_adrenaline	4	2	right
injury	correct_imbalances	4	2	unknown
weight_loss	insomnia	2	1	left
divorce	emotional_strain	2	1	right
walls	fear	2	1	unrelated
security	better_health	2	1	right
symptoms	asthma_attacks	2	1	right
gas	diseases	2	1	right
immune_system	illness	3	2	right
loss	devastation	2	1	left
dispute	events	6	5	unrelated
anxieties	suffering	2	1	right
high-grade_tumors	poor_prognosis	2	1	right
chemotherapy	muscle_pain	2	1	right
underlying_condition	erectile_dysfunction	3	2	right
outbreaks	illness	2	1	right
nightmares	emotional_distress	2	1	right
prophet_elijah	mount_carmel	2	1	unknown
psychological_distress	fatigue	3	2	right
deaths	secondary_complications	2	1	left
high_cholesterol_levels	obesity	3	2	right
anemia	cirrhosis_of_the_liver	2	1	unrelated
infection	ra	2	1	unrelated
genes	signaling_pathways	2	1	right
appetite	neurotransmitter	2	1	left
cognitive_impairment	atherosclerosis	2	1	left
eating_disorders	psychological_factors	2	1	left
understanding_of_“_music	harmonic_and_rhythmic_intersections_in_time_and_space	2	1	unknown
