Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
fire	accident	46	83	TBD
problem	accident	66	123	TBD
explosion	accident	21	43	TBD
stress	accident	12	29	TBD
failure	accident	53	37	TBD
sickness	accident	8	17	TBD
condition	accident	66	73	TBD
health_problem	accident	5	6	TBD
incident	accident	10	11	TBD
congestion	accident	16	28	TBD
confusion	accident	9	8	TBD
cut	accident	16	10	TBD
war	accident	4	10	TBD
change	accident	11	9	TBD
leak	accident	5	4	TBD
health_issue	accident	3	5	TBD
offense	accident	13	3	TBD
chain_reaction	accident	4	5	TBD
medical_emergency	accident	2	8	TBD
legal_cost	accident	3	10	TBD
malfunction	accident	12	10	TBD
exposure	accident	2	3	TBD
danger	accident	9	4	TBD
puncture	accident	6	2	TBD
anxiety	accident	2	6	TBD
debris	accident	14	3	TBD
rider	accident	6	13	TBD
omission	accident	3	2	TBD
death	grief	89	18	TBD
pain	death	75	107	TBD
death	loss	133	27	TBD
death	life	107	63	TBD
depression	death	85	20	TBD
death	sorrow	21	20	TBD
death	suffering	44	10	TBD
death	anger	10	19	TBD
death	damage	77	202	TBD
death	confusion	16	27	TBD
death	separation	25	22	TBD
death	protest	9	14	TBD
death	blindness	10	17	TBD
death	feeling	5	2	TBD
anxiety	death	8	14	TBD
death	fear	61	27	TBD
death	issue	6	20	TBD
death	change	43	29	TBD
death	chaos	6	18	TBD
death	scandal	4	2	TBD
death	kidney	4	18	TBD
death	riot	11	47	TBD
death	crisis	6	11	TBD
death	destruction	10	20	TBD
death	loneliness	5	4	TBD
death	despair	4	7	TBD
death	impurity	3	4	TBD
death	victory	4	2	TBD
death	horror	3	7	TBD
death	law	6	21	TBD
death	research	2	4	TBD
death	world_war	3	8	TBD
death	trouble	4	13	TBD
death	strife	3	6	TBD
struggle	death	8	2	TBD
death	physical_deterioration	2	5	TBD
death	misfortune	5	2	TBD
death	permanent_disability	11	3	TBD
death	arrest	4	9	TBD
death	impact	5	18	TBD
death	excitement	3	6	TBD
death	uncertainty	8	2	TBD
death	defilement	6	2	TBD
panic	death	20	5	TBD
death	man	3	7	TBD
permanent_damage	death	3	2	TBD
death	debris	7	6	TBD
death	allegation	3	2	TBD
death	transformation	2	9	TBD
death	tragedy	7	12	TBD
death	difficulty	2	9	TBD
death	unconsciousness	4	15	TBD
death	killing	3	4	TBD
death	unemployment	2	3	TBD
death	harm	6	23	TBD
death	hospitalization	3	9	TBD
death	looting	3	10	TBD
decay	death	9	2	TBD
death	misery	2	3	TBD
disease	injury	89	54	TBD
inflammation	disease	182	258	TBD
depression	disease	59	86	TBD
weakness	disease	23	60	TBD
damage	disease	138	407	TBD
disease	change	76	75	TBD
disease	condition	199	151	TBD
disease	arthritis	41	19	TBD
disease	malnutrition	48	199	TBD
cancer	disease	24	48	TBD
disease	diarrhea	146	31	TBD
disease	stress	133	539	TBD
disease	infection	109	495	TBD
tumor	disease	12	18	TBD
scarring	disease	13	26	TBD
disease	poverty	55	143	TBD
disease	nausea	42	9	TBD
disease	sickness	49	45	TBD
disease	diabetes	58	42	TBD
disease	abnormality	36	14	TBD
disease	hypertension	22	8	TBD
high_blood_pressure	disease	74	36	TBD
disease	destruction	21	10	TBD
disease	fear	27	9	TBD
dehydration	disease	24	28	TBD
disease	tissue_damage	45	30	TBD
disease	distress	21	5	TBD
disease	heart_disease	21	10	TBD
disease	behavior	23	37	TBD
disease	effect	9	3	TBD
disease	irritation	17	12	TBD
disease	constipation	54	64	TBD
disease	defect	19	21	TBD
anxiety	disease	9	34	TBD
side_effect	disease	27	17	TBD
disorder	disease	15	27	TBD
disease	alteration	7	13	TBD
disease	deterioration	20	6	TBD
immunosuppression	disease	6	18	TBD
trauma	disease	29	22	TBD
disease	major_problem	7	5	TBD
disease	dysfunction	36	34	TBD
disease	issue	11	3	TBD
disease	gene	126	237	TBD
disease	syndrome	6	3	TBD
disease	liver_cancer	24	6	TBD
disease	germ	82	331	TBD
disease	hepatitis	7	4	TBD
disease	failure	4	12	TBD
disease	ulcer	12	5	TBD
lethargy	disease	5	8	TBD
liver_disease	disease	2	6	TBD
emotional_trauma	disease	6	5	TBD
autoimmune_disorder	disease	4	8	TBD
disease	mutation	112	470	TBD
disease	leukemia	6	12	TBD
disease	hunger	14	35	TBD
