Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
issue	accident	3	3	TBD
death	tear	8	8	TBD
death	speculation	4	4	TBD
death	ceremony	4	4	TBD
death	debt	2	2	TBD
tax	death	2	2	TBD
disease	dryness	6	6	TBD
disease	autoimmune_disease	3	3	TBD
alcoholism	disease	12	12	TBD
disease	cell_death	5	5	TBD
disease	hopelessness	2	2	TBD
physical_condition	disease	2	2	TBD
congestive_heart_failure	pneumonia	4	4	TBD
cancer	material	17	17	TBD
pcb_’_s	cancer	4	4	TBD
cancer	poison	15	15	TBD
cancer	chromosomal_abnormality	3	3	TBD
depression	heart_attack	10	10	TBD
illness	sore_throat	3	3	TBD
illness	magnesium_deficiency	3	3	TBD
illness	lowered_immune_system	4	4	TBD
illness	kidney_disease	3	3	TBD
disorder	stroke	16	16	TBD
hypoxia	stroke	2	2	TBD
complication	failure	5	5	TBD
hospital_admission	complication	4	4	TBD
serious_condition	complication	3	3	TBD
complication	crisis	2	2	TBD
liver	complication	3	3	TBD
discharge	infection	10	10	TBD
immune_system	infection	11	11	TBD
weakness	infection	5	5	TBD
defect	infection	3	3	TBD
skin_problem	infection	3	3	TBD
failure	infection	3	3	TBD
psoriasis	infection	7	7	TBD
fistula	infection	3	3	TBD
tb	infection	4	4	TBD
inflammation_of_the_skin	infection	2	2	TBD
instability	injury	7	7	TBD
degeneration	injury	3	3	TBD
alteration	injury	2	2	TBD
rehabilitation	injury	2	2	TBD
violence	mental_health_problem	7	7	TBD
problem	famine	2	2	TBD
pain	scarring	8	8	TBD
pain	paralysis	4	4	TBD
heart_problem	shock	2	2	TBD
dehydration	side_effect	4	4	TBD
dehydration	overheating	2	2	TBD
stress	malnutrition	3	3	TBD
tooth_decay	malnutrition	3	3	TBD
malnutrition	persistent_diarrhoea	2	2	TBD
malnutrition	ignorance	2	2	TBD
stress	malnutrition	3	3	TBD
stress	personal_injury	3	3	TBD
negative_energy	stress	4	4	TBD
emotional_issue	stress	3	3	TBD
rebellion	sin	2	2	TBD
war	political_instability	6	6	TBD
war	controversy	2	2	TBD
war	pressure	2	2	TBD
war	independence	2	2	TBD
fire	action	5	5	TBD
fire	smoke_inhalation	2	2	TBD
fire	physical_damage	2	2	TBD
depression	tension	11	11	TBD
depression	despair	7	7	TBD
depression	heart_attack	10	10	TBD
depression	emotional_eating	5	5	TBD
depression	vicious_cycle	4	4	TBD
depression	flood	2	2	TBD
depression	crisis	2	2	TBD
depression	unhappiness	2	2	TBD
depression	negative_effect	8	8	TBD
depression	personality_change	2	2	TBD
depression	deficit	6	6	TBD
depression	neurotransmitter_imbalance	2	2	TBD
depression	inflammatory_bowel_disease	3	3	TBD
insomnia	restlessness	5	5	TBD
homicide	suicide	5	5	TBD
problem	suicide	16	16	TBD
pain	paralysis	4	4	TBD
side_effect	diabetes	12	12	TBD
anxiety	phobia	10	10	TBD
anxiety	action	8	8	TBD
anxiety	withdrawal	15	15	TBD
anxiety	resentment	2	2	TBD
anxiety	craving	5	5	TBD
anxiety	binge_eating	2	2	TBD
anxiety	neurotransmitter	2	2	TBD
anxiety	joint_pain	2	2	TBD
aid	damage	3	3	TBD
high_insulin_level	obesity	14	14	TBD
obesity	psoriasis	2	2	TBD
inflammation	obstruction	4	4	TBD
inflammation	tissue_injury	3	3	TBD
inflammation	fatty_liver	3	3	TBD
inflammation	optic_neuritis	2	2	TBD
inflammation	sunburn	4	4	TBD
inflammation	liver_damage	3	3	TBD
inflammation	respiratory_disease	4	4	TBD
damage	cardiovascular_disease	10	10	TBD
birth_defect	damage	2	2	TBD
damage	alzheimer_’_s_disease	3	3	TBD
aid	damage	3	3	TBD
civil_war	problem	11	11	TBD
problem	suicide	16	16	TBD
problem	exploitation	5	5	TBD
problem	fever	6	6	TBD
dispute	problem	3	3	TBD
mental_retardation	problem	6	6	TBD
problem	famine	2	2	TBD
severe_pain	problem	9	9	TBD
problem	displacement	3	3	TBD
problem	removal	6	6	TBD
problem	grief	7	7	TBD
problem	vitamin_b12_deficiency	6	6	TBD
problem	staining	2	2	TBD
problem	vision_loss	2	2	TBD
problem	ulcer	5	5	TBD
psychological_problem	problem	2	2	TBD
problem	chronic_insomnia	2	2	TBD
problem	deformity	2	2	TBD
medical_problem	condition	19	19	TBD
narrowing	condition	7	7	TBD
isolation	condition	5	5	TBD
low_testosterone	condition	3	3	TBD
nystagmus	condition	9	9	TBD
thiamine_deficiency	condition	2	2	TBD
multiple_sclerosis	condition	2	2	TBD
life	condition	3	3	TBD
scarcity	condition	2	2	TBD
thrombosis	condition	3	3	TBD
chronic_infection	condition	2	2	TBD
coronary_artery_disease	condition	4	4	TBD
worry	condition	2	2	TBD
condensation	condition	2	2	TBD
nausea	symptom	8	8	TBD
chronic_condition	symptom	6	6	TBD
congestion	symptom	6	6	TBD
asthma_attack	symptom	3	3	TBD
climate_change	destruction	8	8	TBD
poor_education	poverty	5	5	TBD
poverty	vice	5	5	TBD
schizophrenia	poverty	2	2	TBD
abuse	drug	5	5	TBD
abuse	drug	5	5	TBD
osteoporosis	weak_bone	7	7	TBD
disorder	osteoporosis	12	12	TBD
spinal_cord_injury	fracture	2	2	TBD
depression	flood	2	2	TBD
sepsis	hypoglycemia	2	2	TBD
problem	fever	6	6	TBD
bronchitis	fever	4	4	TBD
climate_change	destruction	8	8	TBD
glaucoma	elevated_intraocular_pressure	8	8	TBD
limb_amputation	blindness	2	2	TBD
low_blood_pressure	kidney_failure	2	2	TBD
weakness	fatigue	4	4	TBD
pressure	war	2	2	TBD
action	fire	5	5	TBD
action	anxiety	8	8	TBD
action	breach	3	3	TBD
action	prejudice	4	4	TBD
action	speculation	2	2	TBD
action	confidence	2	2	TBD
cancer	poison	15	15	TBD
abdominal_injury	trauma	2	2	TBD
problem	ulcer	5	5	TBD
disease_state	mutation	4	4	TBD
attack	reaction	3	3	TBD
asthma	inflammation_of_the_bronchial_tube	2	2	TBD
dehydration	side_effect	4	4	TBD
side_effect	diabetes	12	12	TBD
anemia	lack_of_appetite	2	2	TBD
complication	failure	5	5	TBD
failure	inefficiency	4	4	TBD
failure	infection	3	3	TBD
disease	alcoholism	12	12	TBD
stress	personal_injury	3	3	TBD
deficiency	cirrhosis	2	2	TBD
conflict	fragmentation	3	3	TBD
schism	conflict	2	2	TBD
demographic_change	conflict	2	2	TBD
negotiation	conflict	4	4	TBD
instability	conflict	5	5	TBD
confrontation	conflict	3	3	TBD
attention	success	7	7	TBD
constipation	flatulence	3	3	TBD
water_retention	constipation	3	3	TBD
congestive_heart_failure	pneumonia	4	4	TBD
energy	event	2	2	TBD
wwii	event	2	2	TBD
spinal_cord_injury	fracture	2	2	TBD
coronary_artery_disease	condition	4	4	TBD
reaction	loss	3	3	TBD
inconvenience	loss	3	3	TBD
fear	loss	2	2	TBD
expansion	explosion	4	4	TBD
issue	accident	3	3	TBD
guilt	anger	6	6	TBD
act	anger	4	4	TBD
tension	anger	5	5	TBD
tragedy	anger	2	2	TBD
skin_inflammation	acne	6	6	TBD
germ	acne	2	2	TBD
polycystic_ovarian_syndrome	insulin_resistance	9	9	TBD
insulin_resistance	excess_insulin	4	4	TBD
suffering	salvation	4	4	TBD
depression	tension	11	11	TBD
tension	anger	5	5	TBD
tension	confusion	5	5	TBD
tension	cold_war	3	3	TBD
damage	cardiovascular_disease	10	10	TBD
breast_pain	breast_cancer	3	3	TBD
oxidative_stress	hypertension	5	5	TBD
chronic_renal_failure	hypertension	3	3	TBD
kidney_disorder	hypertension	2	2	TBD
intraparenchymal_hemorrhage	hypertension	1	1	TBD
weakness	weight_loss	5	5	TBD
allergy	antibody	2	2	TBD
frustration	fear	4	4	TBD
fear	abandonment	2	2	TBD
fear	loss	2	2	TBD
kidney_disease	elevated_blood_pressure	10	10	TBD
illness	kidney_disease	3	3	TBD
homicide	suicide	5	5	TBD
phenomenon	change	3	3	TBD
difference	change	3	3	TBD
displacement	change	2	2	TBD
adjustment	change	2	2	TBD
pathology	change	2	2	TBD
osteoporosis	disorder	12	12	TBD
disorder	stroke	16	16	TBD
heart_problem	shock	2	2	TBD
error	error_message	3	3	TBD
tooth_decay	malnutrition	3	3	TBD
erosion	disturbance	6	6	TBD
soil	erosion	2	2	TBD
problem	grief	7	7	TBD
malnutrition	ignorance	2	2	TBD
confusion	misconception	3	3	TBD
confusion	crisis	4	4	TBD
tension	confusion	5	5	TBD
isolation	mental_illness	3	3	TBD
isolation	condition	5	5	TBD
hyperthermia	seizure	3	3	TBD
domestic_violence	unemployment	3	3	TBD
economic_crisis	unemployment	2	2	TBD
nausea	symptom	8	8	TBD
frustration	fear	4	4	TBD
act	anger	4	4	TBD
increase	increased_risk	4	4	TBD
oxidative_stress	hypertension	5	5	TBD
oxidative_stress	pathogenesis	2	2	TBD
oxidative_stress	neurological_disorder	2	2	TBD
generation_of_reactive_oxygen_specie	oxidative_stress	2	2	TBD
birth_defect	damage	2	2	TBD
warming	water_vapor	6	6	TBD
defect	infection	3	3	TBD
problem	vision_loss	2	2	TBD
scarring	pain	8	8	TBD
disease	cell_death	5	5	TBD
degeneration	cell_death	2	2	TBD
anxiety	craving	5	5	TBD
hypoxia	stroke	2	2	TBD
rain	condensation	3	3	TBD
action	breach	3	3	TBD
bronchitis	fever	4	4	TBD
drug_use	distress	2	2	TBD
cramp	sweating	2	2	TBD
guilt	anger	6	6	TBD
deficiency	cirrhosis	2	2	TBD
love	faith	9	9	TBD
good_work	salvation	13	13	TBD
salvation	suffering	4	4	TBD
anxiety	joint_pain	2	2	TBD
drug_abuse	mental_illness	171	171	TBD
isolation	mental_illness	3	3	TBD
weakness	decline	2	2	TBD
hyperthermia	seizure	3	3	TBD
low_blood_pressure	kidney_failure	2	2	TBD
technology	industrial_revolution	4	4	TBD
excess_weight	medical_condition	3	3	TBD
repression	resistance	4	4	TBD
displacement	change	2	2	TBD
problem	displacement	3	3	TBD
lactic_acid	muscle	5	5	TBD
aging	mitochondrial_dysfunction	6	6	TBD
discrimination	mental_health_issue	2	2	TBD
sepsis	hypoglycemia	2	2	TBD
weakness	strength	4	4	TBD
weakness	weight_loss	5	5	TBD
weakness	infection	5	5	TBD
weakness	fatigue	4	4	TBD
weakness	decline	2	2	TBD
severe_pain	problem	9	9	TBD
inflammation	obstruction	4	4	TBD
bias	difference	3	3	TBD
difference	change	3	3	TBD
drug_use	distress	2	2	TBD
chain_of_event	arrest	3	3	TBD
germ	acne	2	2	TBD
activation	tissue_damage	2	2	TBD
action	prejudice	4	4	TBD
love	faith	9	9	TBD
love	understanding	2	2	TBD
abscess	fistula	2	2	TBD
inflammation	liver_damage	3	3	TBD
urinary_tract_infection	kidney_stone	2	2	TBD
problem	vitamin_b12_deficiency	6	6	TBD
anxiety	withdrawal	15	15	TBD
tb	infection	4	4	TBD
damage	alzheimer_’_s_disease	3	3	TBD
infection	immune_system	11	11	TBD
rioting	arrest	2	2	TBD
chain_of_event	arrest	3	3	TBD
domestic_violence	unemployment	3	3	TBD
life	condition	3	3	TBD
excess_weight	medical_condition	3	3	TBD
schizophrenia	poverty	2	2	TBD
water_retention	constipation	3	3	TBD
congestion	symptom	6	6	TBD
feeling	ed	3	3	TBD
feeling	ed	3	3	TBD
reaction	loss	3	3	TBD
reaction	compound	2	2	TBD
attack	reaction	3	3	TBD
inflation	artificially_low_interest_rate	7	7	TBD
inflation	price_change	2	2	TBD
inflation	expansion	2	2	TBD
inflation	price	3	3	TBD
inflation	price_going_up	3	3	TBD
inflammation	sunburn	4	4	TBD
controversy	war	2	2	TBD
controversy	ban	3	3	TBD
depression	despair	7	7	TBD
chronic_infection	condition	2	2	TBD
drug_abuse	mental_illness	171	171	TBD
slavery	exploitation	2	2	TBD
anxiety	binge_eating	2	2	TBD
thrombosis	condition	3	3	TBD
mental_retardation	problem	6	6	TBD
economic_growth	population_growth	14	14	TBD
varicose_vein	chronic_venous_insufficiency	5	5	TBD
bullying	low_self-esteem	8	8	TBD
problem	psychological_problem	2	2	TBD
medical_problem	condition	19	19	TBD
depression	deficit	6	6	TBD
lactic_acid	muscle	5	5	TBD
liver	complication	3	3	TBD
depression	inflammatory_bowel_disease	3	3	TBD
dispute	problem	3	3	TBD
cancer	chromosomal_abnormality	3	3	TBD
negotiation	conflict	4	4	TBD
problem	civil_war	11	11	TBD
civil_war	split	2	2	TBD
bullying	low_self-esteem	8	8	TBD
industrial_revolution	technological_advance	3	3	TBD
technology	industrial_revolution	4	4	TBD
economic_growth	population_growth	14	14	TBD
expansion	cooling	5	5	TBD
rain	condensation	3	3	TBD
condensation	condition	2	2	TBD
impulsivity	substance_abuse	2	2	TBD
criminal_behaviour	substance_abuse	3	3	TBD
economic_crisis	unemployment	2	2	TBD
confusion	crisis	4	4	TBD
depression	crisis	2	2	TBD
complication	crisis	2	2	TBD
innovation	invention	5	5	TBD
disease	autoimmune_disease	3	3	TBD
skin_problem	infection	3	3	TBD
violence	mental_health_problem	7	7	TBD
illness	sore_throat	3	3	TBD
expansion	cooling	5	5	TBD
expansion	explosion	4	4	TBD
inflation	expansion	2	2	TBD
disease	dryness	6	6	TBD
problem	deformity	2	2	TBD
cramp	sweating	2	2	TBD
debt	death	2	2	TBD
inflammation	tissue_injury	3	3	TBD
chaos	lawlessness	3	3	TBD
instability	injury	7	7	TBD
instability	conflict	5	5	TBD
problem	exploitation	5	5	TBD
slavery	exploitation	2	2	TBD
urinary_tract_infection	kidney_stone	2	2	TBD
light	darkness	6	6	TBD
good_work	salvation	13	13	TBD
energy	event	2	2	TBD
low_testosterone	condition	3	3	TBD
asthma_attack	symptom	3	3	TBD
degeneration	cell_death	2	2	TBD
degeneration	injury	3	3	TBD
thiamine_deficiency	condition	2	2	TBD
inflammation	fatty_liver	3	3	TBD
big_crunch	big_bang	4	4	TBD
confrontation	conflict	3	3	TBD
fire	smoke_inhalation	2	2	TBD
unrest	assassination	3	3	TBD
respiratory_disease	inflammation	4	4	TBD
infection	discharge	10	10	TBD
conflict	fragmentation	3	3	TBD
death	tear	8	8	TBD
malignancy	dermatomyositis	2	2	TBD
chronic_condition	symptom	6	6	TBD
condition	multiple_sclerosis	2	2	TBD
chronic_cerebrospinal_venous_insufficiency	multiple_sclerosis	3	3	TBD
illness	magnesium_deficiency	3	3	TBD
glaucoma	elevated_intraocular_pressure	8	8	TBD
increase	increased_risk	4	4	TBD
polycystic_ovarian_syndrome	insulin_resistance	9	9	TBD
depression	emotional_eating	5	5	TBD
inconvenience	loss	3	3	TBD
wwii	event	2	2	TBD
insomnia	restlessness	5	5	TBD
condition	worry	2	2	TBD
action	confidence	2	2	TBD
collaboration	discovery	8	8	TBD
civil_war	split	2	2	TBD
anxiety	phobia	10	10	TBD
tragedy	anger	2	2	TBD
rebellion	sin	2	2	TBD
dehydration	overheating	2	2	TBD
hypokalemia	metabolic_alkalosis	2	2	TBD
problem	chronic_insomnia	2	2	TBD
erosion	disturbance	6	6	TBD
obesity	psoriasis	2	2	TBD
psoriasis	infection	7	7	TBD
reaction	compound	2	2	TBD
change	phenomenon	3	3	TBD
aging	mitochondrial_dysfunction	6	6	TBD
health_benefit	laughter	3	3	TBD
bias	difference	3	3	TBD
anxiety	resentment	2	2	TBD
bitterness	resentment	2	2	TBD
weakness	strength	4	4	TBD
collaboration	discovery	8	8	TBD
fire	physical_damage	2	2	TBD
high_insulin_level	obesity	14	14	TBD
physical_condition	disease	2	2	TBD
