Source	Target	Weight_Source_Target	Annotation
compression	pain	83	TBD
compression	symptom	22	TBD
compression	sciatica	12	TBD
compression	heat	5	TBD
compression	weakness	11	TBD
compression	numbness	20	TBD
compression	injury	3	TBD
compression	nerve_damage	19	TBD
compression	carpal_tunnel_syndrome	3	TBD
compression	distortion	4	TBD
compression	discomfort	3	TBD
compression	irritation	15	TBD
compression	harm	2	TBD
compression	condition	9	TBD
compression	paralysis	4	TBD
compression	neuralgia	3	TBD
compression	chronic_back_pain	2	TBD
compression	error	3	TBD
compression	problem	5	TBD
compression	pinched_nerve	2	TBD
compression	back_pain	4	TBD
compression	degradation	2	TBD
compression	inflammation	3	TBD
inflammation_of_the_brain	death	22	TBD
inflammation_of_the_brain	convulsion	22	TBD
inflammation_of_the_brain	mental_retardation	4	TBD
inflammation_of_the_brain	coma	7	TBD
inflammation_of_the_brain	vomiting	2	TBD
inflammation_of_the_brain	clinical_disease	2	TBD
inflammation_of_the_brain	seizure	5	TBD
inflammation_of_the_brain	delirium	3	TBD
behavioral_problem	substance_abuse	10	TBD
behavioral_problem	obesity	5	TBD
behavioral_problem	aggressive_behavior	4	TBD
behavioral_problem	isolation	2	TBD
cirrhosis_of_the_liver	death	37	TBD
cirrhosis_of_the_liver	complication	3	TBD
cirrhosis_of_the_liver	jaundice	3	TBD
cirrhosis_of_the_liver	ascites	6	TBD
cirrhosis_of_the_liver	liver_cancer	5	TBD
peptic_ulcer	pain	7	TBD
peptic_ulcer	death	3	TBD
peptic_ulcer	internal_bleeding	8	TBD
peptic_ulcer	heartburn	4	TBD
peptic_ulcer	symptom	6	TBD
peptic_ulcer	bleeding	5	TBD
peptic_ulcer	infection	2	TBD
serious_harm	death	4	TBD
attrition	cost	6	TBD
gigantism	complication	3	TBD
gigantism	hirsutism	1	TBD
viral_infection	fever	200	TBD
viral_infection	diarrhea	51	TBD
viral_infection	inflammation	62	TBD
viral_infection	encephalitis	19	TBD
viral_infection	condition	58	TBD
viral_infection	sore_throat	83	TBD
viral_infection	symptom	24	TBD
viral_infection	acute_bronchitis	49	TBD
viral_infection	disease	63	TBD
viral_infection	hepatitis	20	TBD
viral_infection	cancer	9	TBD
viral_infection	inflammation_of_the_liver	44	TBD
viral_infection	paralysis	7	TBD
viral_infection	pneumonia	11	TBD
viral_infection	illness	12	TBD
viral_infection	inflammation_of_the_brain	17	TBD
viral_infection	death	25	TBD
viral_infection	common_cold	12	TBD
viral_infection	wart	38	TBD
viral_infection	conjunctivitis	16	TBD
viral_infection	problem	23	TBD
viral_infection	cough	11	TBD
viral_infection	high_temperature	23	TBD
viral_infection	damage	20	TBD
viral_infection	cf	13	TBD
viral_infection	meningitis	12	TBD
viral_infection	pleurisy	6	TBD
viral_infection	tonsillitis	28	TBD
viral_infection	myocarditis	5	TBD
viral_infection	autism	6	TBD
viral_infection	disorder	13	TBD
viral_infection	flu	13	TBD
viral_infection	arthritis	13	TBD
viral_infection	acute_sinusitis	3	TBD
viral_infection	gastroenteritis	8	TBD
viral_infection	pain	23	TBD
viral_infection	hearing_loss	10	TBD
viral_infection	headache	6	TBD
viral_infection	bronchitis	30	TBD
viral_infection	bacterial_infection	10	TBD
viral_infection	rash	17	TBD
viral_infection	infection	10	TBD
viral_infection	asthma	28	TBD
viral_infection	aid	15	TBD
viral_infection	cervical_cancer	9	TBD
viral_infection	morbidity	4	TBD
viral_infection	nasal_congestion	3	TBD
viral_infection	cell_death	3	TBD
viral_infection	pericarditis	7	TBD
viral_infection	heart_attack	3	TBD
viral_infection	heart_failure	3	TBD
viral_infection	bell_'s_palsy	12	TBD
viral_infection	dizziness	2	TBD
viral_infection	fatigue	4	TBD
viral_infection	hoarseness	2	TBD
viral_infection	dehydration	3	TBD
viral_infection	cold_sore	17	TBD
viral_infection	blindness	2	TBD
viral_infection	increased_risk	2	TBD
viral_infection	cold	3	TBD
viral_infection	permanent_paralysis	4	TBD
viral_infection	bladder_infection	4	TBD
viral_infection	encephalopathy	2	TBD
viral_infection	injury	2	TBD
viral_infection	sinusitis	8	TBD
viral_infection	vertigo	2	TBD
viral_infection	hive	5	TBD
viral_infection	liver_failure	2	TBD
viral_infection	pink_eye	5	TBD
viral_infection	flu-like_symptom	16	TBD
viral_infection	acute_urticaria	5	TBD
viral_infection	tenderness	3	TBD
viral_infection	bacteria	2	TBD
viral_infection	vomiting	5	TBD
viral_infection	diarrhoea	2	TBD
viral_infection	chill	5	TBD
viral_infection	high_fever	12	TBD
viral_infection	diabetes	4	TBD
viral_infection	laryngitis	2	TBD
viral_infection	liver_inflammation	5	TBD
viral_infection	costochondritis	2	TBD
viral_infection	respiratory_disease	2	TBD
viral_infection	liver_damage	21	TBD
viral_infection	infectious_arthritis	4	TBD
viral_infection	asthma_attack	3	TBD
viral_infection	liver_disease	2	TBD
viral_infection	mumps	5	TBD
viral_infection	mucus	2	TBD
viral_infection	leukemia	2	TBD
viral_infection	liver_cancer	2	TBD
viral_infection	respiratory_distress	2	TBD
viral_infection	schizophrenia	2	TBD
viral_infection	congestion	3	TBD
viral_infection	oxidative_stress	3	TBD
viral_infection	shingle	3	TBD
viral_infection	lung_inflammation	4	TBD
viral_infection	acute_laryngitis	2	TBD
viral_infection	herpes	6	TBD
viral_infection	mortality	3	TBD
viral_infection	immune_deficiency	3	TBD
viral_infection	complication	4	TBD
viral_infection	enlarged_heart	2	TBD
viral_infection	tumor	3	TBD
viral_infection	genital_wart	4	TBD
viral_infection	heart_condition	2	TBD
viral_infection	blister	4	TBD
viral_infection	lesion	2	TBD
viral_infection	autoimmune_response	2	TBD
viral_infection	hepatitis_b	2	TBD
viral_infection	serious_complication	4	TBD
viral_infection	runny_nose	2	TBD
viral_infection	cirrhosis	2	TBD
cancer_of_the_lung	death	5	TBD
cancer_of_the_lung	cancer_death	3	TBD
brain_inflammation	death	6	TBD
brain_inflammation	symptom	2	TBD
brain_inflammation	neurological_problem	9	TBD
brain_inflammation	seizure	2	TBD
energy_blockage	illness	4	TBD
energy_blockage	disease	20	TBD
energy_blockage	stress	2	TBD
digestive_disorder	abdominal_pain	3	TBD
digestive_disorder	bad_breath	6	TBD
digestive_disorder	vomiting	27	TBD
digestive_disorder	symptom	7	TBD
digestive_disorder	constipation	2	TBD
digestive_disorder	disturbed_sleep_pattern	5	TBD
digestive_disorder	diarrhea	2	TBD
high_cholesterol	heart_disease	183	TBD
high_cholesterol	atherosclerosis	92	TBD
high_cholesterol	heart_attack	141	TBD
high_cholesterol	stroke	83	TBD
high_cholesterol	high_blood_pressure	23	TBD
high_cholesterol	problem	10	TBD
high_cholesterol	death	9	TBD
high_cholesterol	diabetes	10	TBD
high_cholesterol	premature_death	4	TBD
high_cholesterol	heart_problem	8	TBD
high_cholesterol	cardiovascular_disease	21	TBD
high_cholesterol	angina	63	TBD
high_cholesterol	obesity	9	TBD
high_cholesterol	gallstone	19	TBD
high_cholesterol	ed	7	TBD
high_cholesterol	disease	11	TBD
high_cholesterol	clogged_artery	12	TBD
high_cholesterol	erectile_dysfunction	16	TBD
high_cholesterol	hardening_of_the_artery	14	TBD
high_cholesterol	arteriosclerosis	7	TBD
high_cholesterol	health_problem	9	TBD
high_cholesterol	serious_health_problem	6	TBD
high_cholesterol	coronary_heart_disease	3	TBD
high_cholesterol	heart_damage	3	TBD
high_cholesterol	condition	17	TBD
high_cholesterol	weight_gain	10	TBD
high_cholesterol	serious_illness	2	TBD
high_cholesterol	complication	3	TBD
high_cholesterol	dementia	2	TBD
high_cholesterol	coronary_artery_disease	3	TBD
high_cholesterol	ill_health	2	TBD
high_cholesterol	symptom	3	TBD
high_cholesterol	hypertension	9	TBD
high_cholesterol	aortic_stenosis	1	TBD
side_effect	death	191	TBD
side_effect	problem	83	TBD
side_effect	depression	13	TBD
side_effect	side_effect	37	TBD
side_effect	symptom	14	TBD
side_effect	nausea	17	TBD
side_effect	withdrawal	8	TBD
side_effect	fatigue	9	TBD
side_effect	discontinuation_of_treatment	20	TBD
side_effect	injury	130	TBD
side_effect	dizziness	32	TBD
side_effect	liver_damage	6	TBD
side_effect	hair_loss	8	TBD
side_effect	complication	11	TBD
side_effect	weight_gain	8	TBD
side_effect	heart_attack	16	TBD
side_effect	anxiety	18	TBD
side_effect	pain	32	TBD
side_effect	trouble	15	TBD
side_effect	drowsiness	16	TBD
side_effect	permanent_damage	7	TBD
side_effect	disease	27	TBD
side_effect	discomfort	13	TBD
side_effect	high_blood_pressure	6	TBD
side_effect	weight_loss	14	TBD
side_effect	treatment_discontinuation	4	TBD
side_effect	headache	6	TBD
side_effect	health_problem	14	TBD
side_effect	discontinuation	84	TBD
side_effect	dose_reduction	9	TBD
side_effect	mortality	3	TBD
side_effect	fall	5	TBD
side_effect	further_problem	5	TBD
side_effect	suicidal_thought	14	TBD
side_effect	insomnia	8	TBD
side_effect	impotence	8	TBD
side_effect	lethargy	3	TBD
side_effect	increased_risk	3	TBD
side_effect	liver_problem	4	TBD
side_effect	diarrhea	7	TBD
side_effect	suicide	3	TBD
side_effect	damage	5	TBD
side_effect	osteoporosis	3	TBD
side_effect	dehydration	4	TBD
side_effect	therapy	3	TBD
side_effect	weakness	2	TBD
side_effect	hospitalization	7	TBD
side_effect	confusion	2	TBD
side_effect	chemotherapy	13	TBD
side_effect	anemia	4	TBD
side_effect	medication	12	TBD
side_effect	diabetes	12	TBD
side_effect	obesity	11	TBD
side_effect	major_problem	2	TBD
side_effect	stroke	4	TBD
side_effect	cancer_treatment	29	TBD
side_effect	erectile_dysfunction	2	TBD
side_effect	concern	13	TBD
side_effect	serious_injury	2	TBD
side_effect	flu-like_symptom	3	TBD
side_effect	lightheadedness	12	TBD
side_effect	allergy	3	TBD
side_effect	significant_morbidity	2	TBD
side_effect	drug	7	TBD
side_effect	fluid_retention	4	TBD
side_effect	birth_defect	14	TBD
side_effect	serious_illness	21	TBD
side_effect	sleepiness	2	TBD
side_effect	constipation	2	TBD
side_effect	illness	3	TBD
side_effect	profuse_sweating	3	TBD
side_effect	heart	2	TBD
side_effect	discontinuation_of_the_drug	3	TBD
side_effect	medical_problem	5	TBD
side_effect	water_retention	2	TBD
side_effect	deafness	3	TBD
side_effect	health_issue	4	TBD
side_effect	loss	2	TBD
side_effect	further_complication	3	TBD
side_effect	anorexia	2	TBD
side_effect	physical_damage	2	TBD
side_effect	serious_problem	6	TBD
side_effect	heart_problem	3	TBD
side_effect	agitation	3	TBD
side_effect	long-term_disability	2	TBD
side_effect	seizure	2	TBD
restlessness	insomnia	5	TBD
restlessness	anxiety	2	TBD
restlessness	seizure	8	TBD
restlessness	despair	5	TBD
restlessness	behavior_problem	5	TBD
restlessness	fatigue	5	TBD
restlessness	lack_of_sleep	7	TBD
economic_problem	stress	6	TBD
economic_problem	unemployment	2	TBD
economic_problem	political_instability	6	TBD
damage_to_the_heart	heart_failure	12	TBD
financial_problem	stress	25	TBD
financial_problem	divorce	27	TBD
financial_problem	bankruptcy	15	TBD
financial_problem	depression	8	TBD
financial_problem	anxiety	7	TBD
financial_problem	problem	7	TBD
financial_problem	conflict	9	TBD
financial_problem	closure	4	TBD
financial_problem	delay	11	TBD
financial_problem	layoff	4	TBD
financial_problem	suicide	2	TBD
financial_problem	failure	2	TBD
financial_problem	homelessness	4	TBD
financial_problem	despair	2	TBD
financial_problem	crisis	7	TBD
thrush	infection	12	TBD
thrush	lameness	15	TBD
thrush	pain	18	TBD
thrush	symptom	7	TBD
thrush	diaper_rash	7	TBD
heavy_metal	cancer	25	TBD
heavy_metal	health_problem	21	TBD
heavy_metal	problem	20	TBD
heavy_metal	disease	12	TBD
heavy_metal	birth_defect	6	TBD
heavy_metal	death	7	TBD
heavy_metal	illness	3	TBD
heavy_metal	autism	10	TBD
heavy_metal	damage	9	TBD
heavy_metal	toxicity	3	TBD
heavy_metal	brain_damage	7	TBD
heavy_metal	kidney_damage	8	TBD
heavy_metal	neurological_problem	14	TBD
heavy_metal	pollution	5	TBD
heavy_metal	skin_disorder	7	TBD
heavy_metal	free_radical_damage	5	TBD
heavy_metal	environmental_problem	2	TBD
heavy_metal	kidney_failure	3	TBD
heavy_metal	serious_health_problem	3	TBD
heavy_metal	symptom	3	TBD
heavy_metal	oxidative_stress	4	TBD
heavy_metal	wrinkle	2	TBD
heavy_metal	allergy	5	TBD
heavy_metal	environmental_damage	7	TBD
heavy_metal	neurological_damage	2	TBD
heavy_metal	disorder	4	TBD
heavy_metal	violence	2	TBD
heavy_metal	cardiomyopathy	1	TBD
reflux	heartburn	44	TBD
reflux	symptom	67	TBD
reflux	discomfort	13	TBD
reflux	pain	12	TBD
reflux	asthma	7	TBD
reflux	damage	5	TBD
reflux	problem	11	TBD
reflux	esophagitis	4	TBD
reflux	ulceration	55	TBD
reflux	nausea	3	TBD
reflux	kidney_infection	4	TBD
reflux	sore_throat	4	TBD
reflux	laryngitis	8	TBD
reflux	cough	16	TBD
reflux	chronic_cough	5	TBD
reflux	varicose_vein	5	TBD
reflux	hoarseness	3	TBD
reflux	vomiting	6	TBD
reflux	pneumonia	3	TBD
reflux	inflammation	4	TBD
reflux	irritability	2	TBD
improvement	saving	17	TBD
improvement	reduction	8	TBD
